BlockName, Block Offset (Doubles), Block Direction (Read or Write), Channel Relative Offset (Doubles), Channel Name, Channel Unit, Channel Default Value (for Write Channels Only)
DMA Block 0,0,Read,0,A_R_Data Channel 0,v,
DMA Block 0,0,Read,1,A_R_Data Channel 1,v,
DMA Block 0,0,Read,2,A_R_Data Channel 2,v,
DMA Block 0,0,Read,3,A_R_Data Channel 3,v,
DMA Block 0,0,Read,4,A_R_Data Channel 4,v,
DMA Block 0,0,Read,5,A_R_Data Channel 5,v,
DMA Block 0,0,Read,6,A_R_Data Channel 6,v,
DMA Block 0,0,Read,7,A_R_Data Channel 7,v,
DMA Block 0,0,Read,8,A_R_Data Channel 8,v,
DMA Block 0,0,Read,9,A_R_Data Channel 9,v,
DMA Block 0,0,Read,10,A_R_Data Channel 10,v,
DMA Block 0,0,Read,11,A_R_Data Channel 11,v,
DMA Block 0,0,Read,12,A_R_Data Channel 12,v,
DMA Block 0,0,Read,13,A_R_Data Channel 13,v,
DMA Block 0,0,Read,14,A_R_Data Channel 14,v,
DMA Block 0,0,Read,15,A_R_Data Channel 15,v,
DMA Block 0,0,Read,16,A_R_Data Channel 16,v,
DMA Block 0,0,Read,17,A_R_Data Channel 17,v,
DMA Block 0,0,Read,18,A_R_Data Channel 18,v,
DMA Block 0,0,Read,19,A_R_Data Channel 19,v,
DMA Block 0,0,Read,20,A_R_Data Channel 20,v,
DMA Block 0,0,Read,21,A_R_Data Channel 21,v,
DMA Block 0,0,Read,22,A_R_Data Channel 22,v,
DMA Block 0,0,Read,23,A_R_Data Channel 23,v,
DMA Block 0,0,Read,24,A_R_Data Channel 24,v,
DMA Block 0,0,Read,25,A_R_Data Channel 25,v,
DMA Block 0,0,Read,26,A_R_Data Channel 26,v,
DMA Block 0,0,Read,27,A_R_Data Channel 27,v,
DMA Block 0,0,Read,28,A_R_Data Channel 28,v,
DMA Block 0,0,Read,29,A_R_Data Channel 29,v,
DMA Block 0,0,Read,30,A_R_Data Channel 30,v,
DMA Block 0,0,Read,31,A_R_Data Channel 31,v,
DMA Block 0,0,Read,32,A_R_Data Channel 32,v,
DMA Block 0,0,Read,33,A_R_Data Channel 33,v,
DMA Block 0,0,Read,34,A_R_Data Channel 34,v,
DMA Block 0,0,Read,35,A_R_Data Channel 35,v,
DMA Block 0,0,Read,36,A_R_Data Channel 36,v,
DMA Block 0,0,Read,37,A_R_Data Channel 37,v,
DMA Block 0,0,Read,38,A_R_Data Channel 38,v,
DMA Block 0,0,Read,39,A_R_Data Channel 39,v,
DMA Block 0,0,Read,40,A_R_Data Channel 40,v,
DMA Block 0,0,Read,41,A_R_Data Channel 41,v,
DMA Block 0,0,Read,42,A_R_Data Channel 42,v,
DMA Block 0,0,Read,43,A_R_Data Channel 43,v,
DMA Block 0,0,Read,44,A_R_Data Channel 44,v,
DMA Block 0,0,Read,45,A_R_Data Channel 45,v,
DMA Block 0,0,Read,46,A_R_Data Channel 46,v,
DMA Block 0,0,Read,47,A_R_Data Channel 47,v,
DMA Block 0,0,Read,48,A_R_Data Channel 48,v,
DMA Block 0,0,Read,49,A_R_Data Channel 49,v,
DMA Block 0,0,Read,50,A_R_Data Channel 50,v,
DMA Block 0,0,Read,51,A_R_Data Channel 51,v,
DMA Block 0,0,Read,52,A_R_Data Channel 52,v,
DMA Block 0,0,Read,53,A_R_Data Channel 53,v,
DMA Block 0,0,Read,54,A_R_Data Channel 54,v,
DMA Block 0,0,Read,55,A_R_Data Channel 55,v,
DMA Block 0,0,Read,56,A_R_Data Channel 56,v,
DMA Block 0,0,Read,57,A_R_Data Channel 57,v,
DMA Block 0,0,Read,58,A_R_Data Channel 58,v,
DMA Block 0,0,Read,59,A_R_Data Channel 59,v,
DMA Block 0,0,Read,60,A_R_Data Channel 60,v,
DMA Block 0,0,Read,61,A_R_Data Channel 61,v,
DMA Block 0,0,Read,62,A_R_Data Channel 62,v,
DMA Block 0,0,Read,63,A_R_Data Channel 63,v,
DMA Block 0,0,Read,64,A_R_Data Channel 64,v,
DMA Block 0,0,Read,65,A_R_Data Channel 65,v,
DMA Block 0,0,Read,66,A_R_Data Channel 66,v,
DMA Block 0,0,Read,67,A_R_Data Channel 67,v,
DMA Block 0,0,Read,68,A_R_Data Channel 68,v,
DMA Block 0,0,Read,69,A_R_Data Channel 69,v,
DMA Block 0,0,Read,70,A_R_Data Channel 70,v,
DMA Block 0,0,Read,71,A_R_Data Channel 71,v,
DMA Block 0,0,Read,72,A_R_Data Channel 72,v,
DMA Block 0,0,Read,73,A_R_Data Channel 73,v,
DMA Block 0,0,Read,74,A_R_Data Channel 74,v,
DMA Block 0,0,Read,75,A_R_Data Channel 75,v,
DMA Block 0,0,Read,76,A_R_Data Channel 76,v,
DMA Block 0,0,Read,77,A_R_Data Channel 77,v,
DMA Block 0,0,Read,78,A_R_Data Channel 78,v,
DMA Block 0,0,Read,79,A_R_Data Channel 79,v,
DMA Block 0,0,Read,80,A_R_Data Channel 80,v,
DMA Block 0,0,Read,81,A_R_Data Channel 81,v,
DMA Block 0,0,Read,82,A_R_Data Channel 82,v,
DMA Block 0,0,Read,83,A_R_Data Channel 83,v,
DMA Block 0,0,Read,84,A_R_Data Channel 84,v,
DMA Block 0,0,Read,85,A_R_Data Channel 85,v,
DMA Block 0,0,Read,86,A_R_Data Channel 86,v,
DMA Block 0,0,Read,87,A_R_Data Channel 87,v,
DMA Block 0,0,Read,88,A_R_Data Channel 88,v,
DMA Block 0,0,Read,89,A_R_Data Channel 89,v,
DMA Block 0,0,Read,90,A_R_Data Channel 90,v,
DMA Block 0,0,Read,91,A_R_Data Channel 91,v,
DMA Block 0,0,Read,92,A_R_Data Channel 92,v,
DMA Block 0,0,Read,93,A_R_Data Channel 93,v,
DMA Block 0,0,Read,94,A_R_Data Channel 94,v,
DMA Block 0,0,Read,95,A_R_Data Channel 95,v,
DMA Block 0,0,Read,96,A_R_Data Channel 96,v,
DMA Block 0,0,Read,97,A_R_Data Channel 97,v,
DMA Block 0,0,Read,98,A_R_Data Channel 98,v,
DMA Block 0,0,Read,99,A_R_Data Channel 99,v,
DMA Block 1,100,Read,0,A_R_Data Channel 100,v,
DMA Block 1,100,Read,1,A_R_Data Channel 101,v,
DMA Block 1,100,Read,2,A_R_Data Channel 102,v,
DMA Block 1,100,Read,3,A_R_Data Channel 103,v,
DMA Block 1,100,Read,4,A_R_Data Channel 104,v,
DMA Block 1,100,Read,5,A_R_Data Channel 105,v,
DMA Block 1,100,Read,6,A_R_Data Channel 106,v,
DMA Block 1,100,Read,7,A_R_Data Channel 107,v,
DMA Block 1,100,Read,8,A_R_Data Channel 108,v,
DMA Block 1,100,Read,9,A_R_Data Channel 109,v,
DMA Block 1,100,Read,10,A_R_Data Channel 110,v,
DMA Block 1,100,Read,11,A_R_Data Channel 111,v,
DMA Block 1,100,Read,12,A_R_Data Channel 112,v,
DMA Block 1,100,Read,13,A_R_Data Channel 113,v,
DMA Block 1,100,Read,14,A_R_Data Channel 114,v,
DMA Block 1,100,Read,15,A_R_Data Channel 115,v,
DMA Block 1,100,Read,16,A_R_Data Channel 116,v,
DMA Block 1,100,Read,17,A_R_Data Channel 117,v,
DMA Block 1,100,Read,18,A_R_Data Channel 118,v,
DMA Block 1,100,Read,19,A_R_Data Channel 119,v,
DMA Block 1,100,Read,20,A_R_Data Channel 120,v,
DMA Block 1,100,Read,21,A_R_Data Channel 121,v,
DMA Block 1,100,Read,22,A_R_Data Channel 122,v,
DMA Block 1,100,Read,23,A_R_Data Channel 123,v,
DMA Block 1,100,Read,24,A_R_Data Channel 124,v,
DMA Block 1,100,Read,25,A_R_Data Channel 125,v,
DMA Block 1,100,Read,26,A_R_Data Channel 126,v,
DMA Block 1,100,Read,27,A_R_Data Channel 127,v,
DMA Block 1,100,Read,28,A_R_Data Channel 128,v,
DMA Block 1,100,Read,29,A_R_Data Channel 129,v,
DMA Block 1,100,Read,30,A_R_Data Channel 130,v,
DMA Block 1,100,Read,31,A_R_Data Channel 131,v,
DMA Block 1,100,Read,32,A_R_Data Channel 132,v,
DMA Block 1,100,Read,33,A_R_Data Channel 133,v,
DMA Block 1,100,Read,34,A_R_Data Channel 134,v,
DMA Block 1,100,Read,35,A_R_Data Channel 135,v,
DMA Block 1,100,Read,36,A_R_Data Channel 136,v,
DMA Block 1,100,Read,37,A_R_Data Channel 137,v,
DMA Block 1,100,Read,38,A_R_Data Channel 138,v,
DMA Block 1,100,Read,39,A_R_Data Channel 139,v,
DMA Block 1,100,Read,40,A_R_Data Channel 140,v,
DMA Block 1,100,Read,41,A_R_Data Channel 141,v,
DMA Block 1,100,Read,42,A_R_Data Channel 142,v,
